query,winner_url,loser_url,preference_strength,usable_for_training,weight,winner_page_score,loser_page_score,winner_ranking_target,loser_ranking_target,target_margin,winner_rank,loser_rank,serp_rank_delta,label_source,labeler,reason,patterns,d50_focus_query
входные двери Краснодар,https://krd.doorsstore.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,63.8,31.7,58.8133,41.6755,17.1378,8,3,-5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://dveri-ntd.ru/,weak,True,0.5,78.2,70.6,75.1495,69.547,5.6025,6,5,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://dveriarkada.ru/,strong,True,1.0,78.2,70.8,75.1495,63.7046,11.4449,6,9,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,strong,True,1.0,78.2,75.2,75.1495,65.7233,9.4262,6,10,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,78.2,31.7,75.1495,41.6755,33.474,6,3,-3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://krasnodar.mall-of-doors.ru/catalog/,weak,True,0.5,78.2,74.4,75.1495,69.9158,5.2337,6,7,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://krd.doorsstore.ru/,strong,True,1.0,78.2,63.8,75.1495,58.8133,16.3362,6,8,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,https://prodverikrd.ru/,uncertain,False,0.0,78.2,67.1,75.1495,72.1209,3.0286,6,2,-4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://dveri-ntd.ru/,uncertain,False,0.0,67.1,70.6,72.1209,69.547,2.5739,2,5,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://dveriarkada.ru/,strong,True,1.0,67.1,70.8,72.1209,63.7046,8.4163,2,9,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,weak,True,0.5,67.1,75.2,72.1209,65.7233,6.3976,2,10,8,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,67.1,31.7,72.1209,41.6755,30.4454,2,3,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://krasnodar.mall-of-doors.ru/catalog/,uncertain,False,0.0,67.1,74.4,72.1209,69.9158,2.2051,2,7,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://prodverikrd.ru/,https://krd.doorsstore.ru/,strong,True,1.0,67.1,63.8,72.1209,58.8133,13.3076,2,8,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://169.ru/vhodnye-dveri/,uncertain,False,0.0,81.1,78.9,84.5273,81.2262,3.3011,2,3,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://doorstreet.ru/,strong,True,1.0,81.1,74.3,84.5273,66.0727,18.4546,2,10,8,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://dveri-komandor.ru/,weak,True,0.5,81.1,76.2,84.5273,77.4673,7.06,2,4,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://dverid.ru/,strong,True,1.0,81.1,77.1,84.5273,69.6614,14.8659,2,9,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://dverin.pro/,strong,True,1.0,81.1,79.3,84.5273,73.1461,11.3812,2,8,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,81.1,32.3,84.5273,45.4999,39.0274,2,1,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://mosdvery.ru/categories/vkhodnye-dveri,strong,True,1.0,81.1,73.0,84.5273,70.4499,14.0774,2,7,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://100-dverei.ru/,https://www.moscow-steel.ru/,weak,True,0.5,81.1,80.7,84.5273,77.1907,7.3366,2,6,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://doorstreet.ru/,strong,True,1.0,78.9,74.3,81.2262,66.0727,15.1535,3,10,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://dveri-komandor.ru/,uncertain,False,0.0,78.9,76.2,81.2262,77.4673,3.7589,3,4,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://dverid.ru/,strong,True,1.0,78.9,77.1,81.2262,69.6614,11.5648,3,9,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://dverin.pro/,strong,True,1.0,78.9,79.3,81.2262,73.1461,8.0801,3,8,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,78.9,32.3,81.2262,45.4999,35.7263,3,1,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://mosdvery.ru/categories/vkhodnye-dveri,strong,True,1.0,78.9,73.0,81.2262,70.4499,10.7763,3,7,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://169.ru/vhodnye-dveri/,https://www.moscow-steel.ru/,weak,True,0.5,78.9,80.7,81.2262,77.1907,4.0355,3,6,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://doorstreet.ru/,https://lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,74.3,32.3,66.0727,45.4999,20.5728,10,1,-9,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://dveri-komandor.ru/,https://doorstreet.ru/,strong,True,1.0,76.2,74.3,77.4673,66.0727,11.3946,4,10,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://dveri-komandor.ru/,https://dverid.ru/,weak,True,0.5,76.2,77.1,77.4673,69.6614,7.8059,4,9,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://dveri-komandor.ru/,https://dverin.pro/,weak,True,0.5,76.2,79.3,77.4673,73.1461,4.3212,4,8,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://dveri-komandor.ru/,https://lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,76.2,32.3,77.4673,45.4999,31.9674,4,1,-3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Москва,https://dveri-komandor.ru/,https://mosdvery.ru/categories/vkhodnye-dveri,weak,True,0.5,76.2,73.0,77.4673,70.4499,7.0174,4,7,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
