query,url,page_target_score,ranking_target_score,critical_search_score,rank_prior_score,quality_band,d50_focus_query,label_source,labeler,notes
натяжные потолки Москва,https://www.potolkoff.ru/,72.0,77.8225,67.8833,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://ekat.steklodom.com/ceiling/,66.1,75.1271,74.3006,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://markakachestva.ru/amenities/9043-luchshie-firmy-natjazhnyh-potolkov-v-ekaterinburge-rejting.html,62.2,69.1429,62.0259,92.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://luxpotolok.pro/,80.6,81.8023,81.8689,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://natyazhniepotolkiekb.ru/,78.9,78.9331,81.2674,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://ekapotolok.ru/,68.1,69.3447,73.4849,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://vipceiling.ru/ekb/,68.1,67.9839,75.9125,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://potolokmt.ru/,71.4,68.6345,78.1103,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://tehnos24.ru/,65.5,60.1018,68.6123,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Екатеринбург,https://potolok-eka.ru/,72.9,64.5461,79.1539,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://sibirpotolki.ru/,77.2,83.0726,81.3907,100.0,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://vipceiling.ru/nsk/,68.2,74.7054,74.3096,92.5,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://новосибирск.натяжные-потолки24.рф/,74.3,77.3446,78.1906,85.0,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://mirpotolkov-54.ru/,82.0,81.1712,83.3747,77.5,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://alansa.ru/,83.9,80.5316,82.7576,70.0,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://averno.ru/,74.0,71.5679,75.4192,62.5,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://nskpotolki.ru/,77.6,72.5181,78.3743,55.0,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://www.avanta-nsk.ru/,67.9,65.0273,80.0284,47.5,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://milana-novosib.ru/,75.0,67.5911,79.2737,40.0,medium,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Новосибирск,https://potolok-v-novosibirske.ru/,59.4,54.7492,69.6413,32.5,low,True,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazan-potolki.ru/,76.7,81.7174,74.4229,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://www.potolki-servis.ru/,67.2,73.7389,71.9992,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazan.natpotolok.ru/,79.7,81.0211,80.3809,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://potolki-real.ru/,74.3,75.1763,75.2355,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazanpotolok.ru/,70.8,71.3984,76.0161,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazan.potolki-natyazhniye.ru/,71.3,69.4573,72.5084,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazan.otproffi-potolki.ru/,70.2,66.8852,71.4081,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://rtpotolki.ru/,69.2,65.1553,75.5088,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://kazan.potolok-montaz.ru/,75.8,68.186,79.9335,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Казань,https://woodceilings.ru/,60.9,54.7196,63.2439,32.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://potolki-93.ru/ceny,60.1,70.7817,70.1314,100.0,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://potolkito.ru/,75.4,79.4791,76.3739,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://o-potolki.ru/krasnodar,69.1,74.7271,82.2342,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://ka-potolki.ru/,65.3,69.1525,72.2766,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://potolki-ts.ru/krasnodar,67.7,69.2524,74.5227,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,http://potolki-kuban.ru/,62.7,63.985,71.5731,62.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://potolki193.ru/,63.8,60.9256,58.1304,55.0,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://nova-yug.ru/,69.1,65.3271,77.0672,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://www.potolkimk.ru/,66.1,61.167,73.2332,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Краснодар,https://moi-potolki23.ru/,57.4,53.8761,72.0873,32.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://самара.натяжные-потолки24.рф/,77.7,83.5511,82.5142,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://potolkikiger.ru/samara,72.2,78.1882,80.9945,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://potolki-sam.ru/,68.2,73.566,78.2133,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://potolkius.ru/,74.3,76.2474,82.3763,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://www.potolkoffsam.ru/,73.6,72.6159,72.5596,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://potolki-63.ru/,79.2,76.0378,83.7252,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://studiostyle63.ru/,68.2,66.6325,77.9901,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://smartpotolki.ru/,74.5,69.134,80.1269,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://potolki-samara.info/,72.2,65.9646,80.0039,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Самара,https://потолкисамара.рф/,68.6,59.9349,66.1858,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://nn-decor.ru/,74.5,80.0578,72.4519,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://нижний.натяжные-потолки24.рф/,72.8,77.5507,74.2647,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://nnpotolok.ru/,76.5,78.0486,73.7908,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://potolki-d.ru/,64.5,68.6409,72.1723,77.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://potolki-nng.ru/,61.3,64.1027,66.6449,70.0,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://tandempotolki.ru/,75.4,72.3075,74.5634,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://nebosvod-nn.ru/,69.9,66.4688,69.8723,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://uslugi.yandex.ru/47-nizhny-novgorod/category?text=натяжные+потолки,71.2,65.3837,68.7649,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://2gis.ru/n_novgorod/search/Продажа / монтаж потолков/rubricId/584,17.6,22.0472,12.9011,40.0,blocked,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Нижний Новгород,https://atlantispotolki.ru/,71.0,62.0609,70.4394,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://www.potolkoff.ru/price/,78.4,84.3314,84.823,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://100potolkov.ru/tseny/,75.4,80.3604,82.2491,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://potolki-nova.ru/,74.9,78.0626,80.4972,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://моипотолки.рф/msk,69.6,71.9678,73.2717,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://potolok.net/ceny,80.7,79.4745,88.9368,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://vipceiling.ru/moscow/price/,72.4,71.3362,80.488,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://www.potolkini.ru/ceny-na-natyazhnye-potolki/,74.6,71.0302,80.8543,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://masterpotolkov.com/,70.8,66.6451,78.8276,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://natpotolok.ru/,83.7,74.9098,92.1055,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Москва,https://uslugi.yandex.ru/213-moscow/category?text=натяжные+потолки,78.0,67.3506,76.7708,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://evita-potolki.ru/,78.7,83.2554,76.4092,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://master-plus.spb.ru/natyazhnye-potolki/,66.1,73.5561,75.3271,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://potolok-peter.ru/,73.2,75.0516,67.4508,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://okna-leningrad.ru/potolki/,67.5,71.1153,76.269,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://моипотолки.рф/spb,66.8,66.3094,70.1227,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://tuspb.ru/,71.5,69.3847,82.698,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://potolki-sankt-peterburg.ru/,68.6,63.2936,65.5776,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://spbpotolok.com/,70.4,64.6573,78.7284,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Санкт-Петербург,https://potolki-spb.ru/,71.1,62.1954,70.9224,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Екатеринбург,https://ekat.steklodom.com/ceiling/,69.4,77.7435,78.1035,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки цена Екатеринбург,https://markakachestva.ru/amenities/9043-luchshie-firmy-natjazhnyh-potolkov-v-ekaterinburge-rejting.html,64.0,70.5975,64.2833,92.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
