query,url,expert_target_score,label_source,labeler,notes,critical_score,important_score,supporting_score,rank_prior_score,cap_applied,cap_reasons,quality_band,top_positive_factors,top_negative_factors
натяжные потолки Москва,https://www.potolkoff.ru/,72.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=72.0; cap=100.0,0.61457,0.725989,0.9874,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.175|title_query_fit:0.352
натяжные потолки Санкт-Петербург,https://spbpotolok.com/,69.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=69.6; cap=100.0,0.618256,0.746344,0.723,0.894737,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.949,structured_support:0.000|canonical_consistency:0.150|page_structure:0.345
натяжные потолки Санкт-Петербург,https://potolki-sankt-peterburg.ru/,71.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=71.1; cap=100.0,0.625014,0.733717,0.9034,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.354|page_structure:0.380|semantic_query_fit:0.424
натяжные потолки Санкт-Петербург,https://potolkilider.ru/,76.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=76.5; cap=78.0,0.71813,0.785142,0.8,0.789474,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,structured_support:0.000|title_query_fit:0.304|page_structure:0.429
натяжные потолки Санкт-Петербург,https://master-plus.spb.ru/natyazhnye-potolki/,62.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=content; raw_score=62.1; cap=100.0,0.564161,0.744614,0.7021,0.736842,100.0,,low,crawl_indexability:1.000|text_sufficiency:1.000|technical_metadata:0.915|media_and_internal_navigation:0.895,structured_support:0.000|canonical_consistency:0.150|page_structure:0.318|title_query_fit:0.360
натяжные потолки Санкт-Петербург,https://potolki-spb.ru/,75.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=75.8; cap=100.0,0.734417,0.74285,0.8177,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|technical_metadata:0.971,title_query_fit:0.390|page_structure:0.425
натяжные потолки Санкт-Петербург,https://tuspb.ru/,69.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=69.6; cap=100.0,0.636026,0.731414,0.8,0.631579,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000,structured_support:0.000|canonical_consistency:0.150|page_structure:0.435
натяжные потолки Санкт-Петербург,https://markakachestva.ru/amenities/3782-luchshie-firmy-natjazhnyh-potolkov-v-sankt-peterburge.html,67.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=content; raw_score=67.2; cap=78.0,0.674167,0.721389,0.757367,0.578947,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.287|structured_support:0.312|page_structure:0.359
натяжные потолки Санкт-Петербург,https://metrpotolok.ru/,70.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=70.0; cap=100.0,0.673662,0.728357,0.695,0.526316,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930,structured_support:0.000|mobile_render_performance:0.442
натяжные потолки Екатеринбург,https://ekat.steklodom.com/ceiling/,66.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=content; raw_score=66.1; cap=100.0,0.583018,0.775596,0.774483,1.0,100.0,,medium,crawl_indexability:1.000|offer_and_conversion:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,canonical_consistency:0.150|structured_support:0.187|title_query_fit:0.399
натяжные потолки Екатеринбург,https://markakachestva.ru/amenities/9043-luchshie-firmy-natjazhnyh-potolkov-v-ekaterinburge-rejting.html,62.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=62.2; cap=78.0,0.561058,0.713395,0.715367,0.947368,78.0,critical_query_title_fit_weak,low,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,heading_query_fit:0.200|title_query_fit:0.207|structured_support:0.312|page_structure:0.373
натяжные потолки Екатеринбург,https://luxpotolok.pro/,80.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=80.6; cap=100.0,0.745371,0.807396,0.9412,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.447
натяжные потолки Екатеринбург,https://natyazhniepotolkiekb.ru/,78.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=78.9; cap=100.0,0.79757,0.703036,0.822767,0.842105,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930,page_structure:0.498|mobile_render_performance:0.504|structured_support:0.534
натяжные потолки Екатеринбург,https://ekapotolok.ru/,68.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=68.1; cap=100.0,0.661608,0.680284,0.59,0.789474,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930,structured_support:0.000|secondary_commercial_details:0.400|page_structure:0.427|title_query_fit:0.440
натяжные потолки Екатеринбург,https://vipceiling.ru/ekb/,68.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=content; raw_score=68.1; cap=100.0,0.667234,0.739526,0.7563,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.962,heading_query_fit:0.200|page_structure:0.429|title_query_fit:0.445
натяжные потолки Екатеринбург,https://potolokmt.ru/,71.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=71.4; cap=100.0,0.701384,0.69857,0.695,0.684211,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930,structured_support:0.000|page_structure:0.360|title_query_fit:0.437
натяжные потолки Екатеринбург,https://tehnos24.ru/,65.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=65.5; cap=100.0,0.555445,0.77526,0.7268,0.578947,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|technical_metadata:0.974|commercial_trust:0.936,structured_support:0.000|canonical_consistency:0.150|heading_query_fit:0.200|page_structure:0.425
натяжные потолки Екатеринбург,https://potolok-eka.ru/,72.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=72.9; cap=100.0,0.771707,0.677029,0.598,0.526316,100.0,,medium,canonical_consistency:1.000|crawl_indexability:0.930|offer_and_conversion:0.860|text_sufficiency:0.850,structured_support:0.000
натяжные потолки Новосибирск,https://sibirpotolki.ru/,77.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=77.2; cap=100.0,0.782882,0.69133,0.6855,1.0,100.0,,medium,canonical_consistency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|offer_and_conversion:0.860,structured_support:0.000|page_structure:0.366
натяжные потолки Новосибирск,https://vipceiling.ru/nsk/,68.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=68.2; cap=100.0,0.651248,0.735369,0.7563,0.947368,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.961,heading_query_fit:0.195|page_structure:0.404|title_query_fit:0.433
натяжные потолки Новосибирск,https://новосибирск.натяжные-потолки24.рф/,74.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=74.3; cap=100.0,0.710895,0.732697,0.723,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.375|title_query_fit:0.446
натяжные потолки Новосибирск,https://mirpotolkov-54.ru/,82.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=82.0; cap=100.0,0.8145,0.795511,0.758,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000
натяжные потолки Новосибирск,https://alansa.ru/,83.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=83.9; cap=100.0,0.827609,0.784367,0.9432,0.789474,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.409
натяжные потолки Новосибирск,https://averno.ru/,74.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=74.0; cap=100.0,0.690764,0.761753,0.8004,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.372
натяжные потолки Новосибирск,https://nskpotolki.ru/,77.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=77.6; cap=100.0,0.70451,0.814947,0.9454,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.432
натяжные потолки Новосибирск,https://www.avanta-nsk.ru/,67.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=67.9; cap=100.0,0.654706,0.702034,0.62165,0.631579,100.0,,medium,crawl_indexability:1.000|technical_metadata:0.992|media_and_internal_navigation:0.891|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150|page_structure:0.323
натяжные потолки Новосибирск,https://milana-novosib.ru/,75.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=75.0; cap=100.0,0.726585,0.77815,0.732483,0.578947,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.187|page_structure:0.408|title_query_fit:0.438
натяжные потолки Новосибирск,https://potolok-v-novosibirske.ru/,59.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=59.4; cap=100.0,0.599934,0.587643,0.46205,0.526316,100.0,,low,canonical_consistency:1.000|crawl_indexability:0.930|offer_and_conversion:0.860,heading_query_fit:0.000|structured_support:0.000|page_structure:0.195
натяжные потолки Казань,https://kazan-potolki.ru/,76.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=76.7; cap=100.0,0.666303,0.801764,0.9454,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.419
натяжные потолки Казань,https://www.potolki-servis.ru/,67.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=67.2; cap=100.0,0.578079,0.718844,0.758,0.947368,100.0,,medium,text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|commercial_trust:0.904,structured_support:0.000|canonical_consistency:0.150|page_structure:0.380|title_query_fit:0.433
натяжные потолки Казань,https://kazan.natpotolok.ru/,79.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=79.7; cap=100.0,0.759742,0.807959,0.7731,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|media_and_internal_navigation:1.000,page_structure:0.464|semantic_query_fit:0.522|structured_support:0.578
натяжные потолки Казань,https://potolki-real.ru/,74.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=74.3; cap=100.0,0.690617,0.768884,0.758,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.339|title_query_fit:0.431
натяжные потолки Казань,https://kazanpotolok.ru/,70.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=70.8; cap=100.0,0.662229,0.76038,0.6155,0.789474,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.975,structured_support:0.000|title_query_fit:0.398
натяжные потолки Казань,https://kazan.potolki-natyazhniye.ru/,71.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=71.3; cap=100.0,0.657857,0.731057,0.799367,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.266|structured_support:0.312|title_query_fit:0.397
натяжные потолки Казань,https://kazan.otproffi-potolki.ru/,70.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=70.2; cap=100.0,0.650459,0.743841,0.717833,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|technical_metadata:0.978|secondary_commercial_details:0.880,structured_support:0.124|page_structure:0.392|title_query_fit:0.418
натяжные потолки Казань,https://rtpotolki.ru/,69.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=69.2; cap=100.0,0.684885,0.720478,0.528,0.631579,100.0,,medium,canonical_consistency:1.000|crawl_indexability:0.930|commercial_trust:0.873|text_sufficiency:0.850,structured_support:0.000|title_query_fit:0.413
натяжные потолки Казань,https://kazan.potolok-montaz.ru/,75.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=75.8; cap=100.0,0.717465,0.767955,0.8886,0.578947,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.438
натяжные потолки Казань,https://woodceilings.ru/,60.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=60.9; cap=100.0,0.485505,0.77277,0.6917,0.526316,100.0,,low,crawl_indexability:1.000|technical_metadata:0.965|commercial_trust:0.936|secondary_commercial_details:0.880,heading_query_fit:0.000|structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.396
натяжные потолки Краснодар,https://potolki-93.ru/ceny,60.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=content; raw_score=60.1; cap=100.0,0.553712,0.670824,0.653,1.0,100.0,,low,text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150|page_structure:0.338|title_query_fit:0.374
натяжные потолки Краснодар,https://potolkito.ru/,75.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=75.4; cap=100.0,0.694388,0.779024,0.758,0.947368,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.328|title_query_fit:0.433
натяжные потолки Краснодар,https://o-potolki.ru/krasnodar,69.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=content; raw_score=69.1; cap=100.0,0.728142,0.680979,0.618,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.382
натяжные потолки Краснодар,https://ka-potolki.ru/,65.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=65.3; cap=100.0,0.57048,0.699502,0.723,0.842105,100.0,,medium,text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150|page_structure:0.338|title_query_fit:0.420
натяжные потолки Краснодар,https://potolki-ts.ru/krasnodar,67.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=content; raw_score=67.7; cap=100.0,0.671925,0.72781,0.695,0.789474,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.318|title_query_fit:0.397
натяжные потолки Краснодар,http://potolki-kuban.ru/,62.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=62.7; cap=100.0,0.551072,0.70091,0.6206,0.736842,100.0,,low,crawl_indexability:1.000|media_and_internal_navigation:0.990|offer_and_conversion:0.860|text_sufficiency:0.850,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.382|page_structure:0.421
натяжные потолки Краснодар,https://potolki193.ru/,63.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=63.8; cap=82.0,0.55363,0.778764,0.5101,0.684211,82.0,important_canonical_points_elsewhere,low,crawl_indexability:1.000|technical_metadata:0.992|offer_and_conversion:0.860,media_and_internal_navigation:0.145|canonical_consistency:0.250|title_query_fit:0.402|page_structure:0.423
натяжные потолки Краснодар,https://nova-yug.ru/,69.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=69.1; cap=100.0,0.690346,0.652773,0.6901,0.631579,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|text_sufficiency:0.850,heading_query_fit:0.200|page_structure:0.411|secondary_commercial_details:0.420
натяжные потолки Краснодар,https://www.potolkimk.ru/,66.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=66.1; cap=100.0,0.578127,0.754473,0.7275,0.578947,100.0,,medium,crawl_indexability:1.000|media_and_internal_navigation:1.000|commercial_trust:0.903|technical_metadata:0.902,structured_support:0.000|canonical_consistency:0.150|page_structure:0.347|title_query_fit:0.407
натяжные потолки Краснодар,https://moi-potolki23.ru/,57.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=57.4; cap=100.0,0.55359,0.618361,0.42995,0.526316,100.0,,low,crawl_indexability:0.920|text_sufficiency:0.850|technical_metadata:0.814|heading_query_fit:0.783,structured_support:0.000|canonical_consistency:0.150|page_structure:0.319|mobile_render_performance:0.375
натяжные потолки Самара,https://самара.натяжные-потолки24.рф/,77.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=77.7; cap=100.0,0.754969,0.746969,0.723,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000
натяжные потолки Самара,https://potolkikiger.ru/samara,72.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=72.2; cap=100.0,0.737586,0.739024,0.677383,0.947368,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|technical_metadata:0.973,structured_support:0.187|title_query_fit:0.409|page_structure:0.431
натяжные потолки Самара,https://potolki-sam.ru/,68.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=68.2; cap=100.0,0.622855,0.679113,0.758,0.894737,100.0,,medium,text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|secondary_commercial_details:0.880,structured_support:0.000|canonical_consistency:0.150
