query,url,expert_target_score,label_source,labeler,notes
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,88.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=6; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Санкт-Петербург,https://spb.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=3; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери отзывы,https://irecommend.ru/catalog/list/9986-149512,83.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=product; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери отзывы,https://www.vseinstrumenti.ru/category/vhodnye-metallicheskie-dveri-176310/otzyvy/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=category; rank=6; strengths=none; risks=thin_content|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
входные двери цена Екатеринбург,https://ekaterenburg.estetdveri.ru/catalog/vkhodnye-dveri/,88.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=product; rank=9; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Екатеринбург,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=5; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Казань,https://kazan.dverimagnat.ru/,89.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Казань,https://kazan.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=2; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Краснодар,https://krasnodar.mosdveri.ru/,85.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Краснодар,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=1; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Москва,https://www.dverimagnat.ru/,92.0,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=7; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Москва,https://lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=1; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Нижний Новгород,https://nigny-novgorod.dverimagnat.ru/,88.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Нижний Новгород,https://2gis.ru/n_novgorod/search/Входные двери/rubricId/9972,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=10; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
входные двери цена Новосибирск,https://novosibirsk.dverimagnat.ru/,91.7,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Новосибирск,https://novosibirsk.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=3; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Самара,https://samara.dverimagnat.ru/,93.3,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Самара,https://samara.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=2; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери цена Санкт-Петербург,https://spb.dverimagnat.ru/,91.2,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=3; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери цена Санкт-Петербург,https://spb.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=2; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
как выбрать входные двери,https://www.cian.ru/stati-kak-vybrat-vhodnuju-dver-v-kvartiru-i-dom-340912/,85.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=1; strengths=deep_content|semantic_match|query_terms_covered|technical_seo_ok; risks=none
как выбрать кухни на заказ,https://vkkuhni.ru/kak-vyibrat-kuhnyu/kak-vyibrat-kuhnyu-na-zakaz-polnyij-gajd-ot-proizvoditelya-s-15-letnim-opyitom.html,92.5,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=content; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
как выбрать кухни на заказ,https://russia-zov.ru/articles/как-выбрать-кухню/,79.5,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=article; rank=9; strengths=deep_content|semantic_match|query_terms_covered; risks=none
как выбрать натяжные потолки,https://geometrium-school.ru/blog/kakie-byvayut-natyazhnye-potolki-tipy-materialy-rekomendaczii-po-vyboru/,83.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=article; rank=5; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
как выбрать натяжные потолки,https://pikabu.ru/story/kakie_natyazhnyie_potolki_vyibrat_v_kvartiru_v_2026_godu_matovyie_glyantsevyie_ili_satinovyie_13921758,73.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=9; strengths=deep_content|query_terms_covered|technical_seo_ok; risks=weak_semantic_match
как выбрать пластиковые окна,https://okonti.ru/articles/kak-vybrat-plastikovye-okna-v-kvartiru/,94.8,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=article; rank=3; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
как выбрать пластиковые окна,https://www.ivd.ru/stroitelstvo-i-remont/okna/kak-vybrat-plastikovye-okna-4-vazhnyh-momenta-kotorye-nuzhno-uchest-44801,81.6,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=9; strengths=deep_content|query_terms_covered|technical_seo_ok; risks=none
как выбрать шкафы-купе,https://www.mebelmsk.ru/stati/sovety-eksperta/kak_vybrat_shkaf_kupe/,89.8,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=3; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
как выбрать шкафы-купе,https://mebelmrya.ru/blog/kak-pravilno-vybrat-shkaf-kupe-prakticheskoe-rukovodstvo,76.9,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=article; rank=7; strengths=semantic_match|query_terms_covered|technical_seo_ok; risks=none
кухни на заказ Екатеринбург,https://www.lovekuhnya.ru/,88.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Екатеринбург,https://ekaterinburg.lemanapro.ru/proekt-kuhni/na-zakaz/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=5; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ Казань,https://кухни116.рф/,80.5,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|query_terms_covered|technical_seo_ok; risks=none
кухни на заказ Казань,https://vekexpress.ru/,49.5,expert_rubric_v1,builder_d32_rubric_v1,band=20-49 weak; page_type=homepage; rank=9; strengths=semantic_match|technical_seo_ok; risks=weak_commercial_trust
кухни на заказ Краснодар,https://kuhnidar.ru/,86.5,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Краснодар,https://krasnodar-kuhni-na-zakaz.ru/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=homepage; rank=5; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ Москва,https://www.100-kuhon.ru/,90.1,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=8; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Москва,https://www.mebelmsk.ru/mebel-na-zakaz/kukhni/,78.2,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=2; strengths=deep_content|semantic_match|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Нижний Новгород,https://kuhni-pod-zakaz-nn.ru/,84.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Нижний Новгород,https://kuhnyabar.ru/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=homepage; rank=9; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
кухни на заказ Новосибирск,https://www.kuhni-nsk.ru/catalog/kuhni/na-zakaz/,85.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=product; rank=1; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Новосибирск,http://mebelin-nsk.ru/kukhni,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=9; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
кухни на заказ Самара,https://ka2design.ru/,86.8,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=10; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Самара,https://samara.lemanapro.ru/proekt-kuhni/na-zakaz/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=1; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ Санкт-Петербург,https://lenkuhni.ru/,90.4,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ Санкт-Петербург,https://structurakitchen.ru/,76.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=10; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ отзывы,https://vkkuhni.ru/otzyivyi,92.7,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=content; rank=10; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ отзывы,https://otzovik.com/reviews/kuhnya_kuhni_na_zakaz/,61.6,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=content; rank=2; strengths=semantic_match|query_terms_covered|technical_seo_ok; risks=none
кухни на заказ цена Екатеринбург,https://www.lovekuhnya.ru/,88.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Екатеринбург,https://kuhnya-ekb.ru/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=homepage; rank=6; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ цена Казань,https://kuhni-mebelyer.ru/,83.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=9; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Казань,https://kuhni-kazanzakazz.ru/,69.0,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=6; strengths=deep_content|semantic_match|technical_seo_ok; risks=none
кухни на заказ цена Краснодар,https://kuhnidar.ru/,85.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=3; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Краснодар,https://kukhni-vkrasnodare.ru/,57.1,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=5; strengths=semantic_match|query_terms_covered|technical_seo_ok; risks=none
кухни на заказ цена Москва,https://mebel-renessans.ru/kuhni,88.2,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Москва,https://www.mebelmsk.ru/mebel-na-zakaz/kukhni/,80.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Нижний Новгород,https://love-kuhnya-na-zakaz-nn.ru/,85.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Нижний Новгород,https://кухни-на-заказ-нижний-новгород.рф/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=homepage; rank=10; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ цена Новосибирск,https://lovekuhnya-novosib.ru/,87.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Новосибирск,http://mebelin-nsk.ru/kukhni,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=9; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
кухни на заказ цена Самара,https://samara.kupit-kuhny.ru/,83.6,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Самара,https://www.avito.ru/samara/mebel_i_interer/kuhnya_na_zakaz_v_samare_s_proektom_pod_pomeschenie_i_ustanovkoy_8029860475,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=9; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
кухни на заказ цена Санкт-Петербург,https://lenkuhni.ru/,90.9,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=3; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
кухни на заказ цена Санкт-Петербург,https://petro-mebel.com/kuhni-na-zakaz/,75.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=7; strengths=deep_content|query_terms_covered|technical_seo_ok; risks=none
натяжные потолки Екатеринбург,https://natyazhniepotolkiekb.ru/,84.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Екатеринбург,https://markakachestva.ru/amenities/9043-luchshie-firmy-natjazhnyh-potolkov-v-ekaterinburge-rejting.html,70.6,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=2; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Казань,https://kazan.potolok-montaz.ru/,81.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=9; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Казань,https://kazan.otproffi-potolki.ru/,69.5,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=7; strengths=deep_content|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Краснодар,https://potolkito.ru/,82.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Краснодар,https://potolki193.ru/,49.3,expert_rubric_v1,builder_d32_rubric_v1,band=20-49 weak; page_type=homepage; rank=7; strengths=none; risks=none
натяжные потолки Москва,https://rumexpert.ru/,90.1,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=2; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Москва,https://potolok24moscow.ru/,70.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=7; strengths=deep_content|semantic_match; risks=none
натяжные потолки Нижний Новгород,https://nn-decor.ru/,82.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=1; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Нижний Новгород,https://2gis.ru/n_novgorod/search/Продажа / монтаж потолков/rubricId/584,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=9; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
натяжные потолки Новосибирск,https://alansa.ru/,89.8,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Новосибирск,https://potolok-v-novosibirske.ru/,51.7,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=10; strengths=query_terms_covered|technical_seo_ok; risks=none
натяжные потолки Самара,https://potolki-63.ru/,85.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=6; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Самара,https://potolkius.ru/,67.9,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=4; strengths=semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Санкт-Петербург,https://evita-potolki.ru/,86.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки Санкт-Петербург,https://potolki-sankt-peterburg.ru/,71.9,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки отзывы,https://psmith.ru/about/potolki-reviews,78.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=7; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки отзывы,https://dzen.ru/a/ZCMvlrAxjCnYTjHZ,40.2,expert_rubric_v1,builder_d32_rubric_v1,band=20-49 weak; page_type=content; rank=6; strengths=query_terms_covered; risks=none
натяжные потолки цена Екатеринбург,https://ekb.potolochnik24.ru/,82.5,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=9; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Екатеринбург,https://ekapotolok.ru/,69.2,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=7; strengths=deep_content|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Казань,https://kazan-potolki.ru/,80.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=1; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Казань,https://potolki-ts.ru/kazan,65.4,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=content; rank=8; strengths=deep_content|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Краснодар,https://potolkito.ru/,80.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Краснодар,https://potolok-ns.ru/,65.3,expert_rubric_v1,builder_d32_rubric_v1,band=50-69 partial; page_type=homepage; rank=10; strengths=deep_content|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Москва,https://potolok.net/ceny,87.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=5; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Москва,https://vipceiling.ru/moscow/price/,75.6,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=content; rank=6; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Нижний Новгород,https://nnpotolok.ru/,81.3,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=3; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
натяжные потолки цена Нижний Новгород,https://www.avito.ru/nizhniy_novgorod/predlozheniya_uslug/remont_i_otdelka/potolki-ASgBAgICAkSYC8CfAcQVzvr9Ag?q=натяжные+потолки,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=content; rank=8; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust|technical_seo_risk
натяжные потолки цена Новосибирск,https://alansa.ru/,87.6,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=4; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
