query,category,intent,city,region_code,top_n,pages_to_scan
ремонт квартир Санкт-Петербург,ремонт квартир,commercial,Санкт-Петербург,2,10,1
ремонт квартир Екатеринбург,ремонт квартир,commercial,Екатеринбург,54,10,1
ремонт квартир Новосибирск,ремонт квартир,commercial,Новосибирск,65,10,1
ремонт квартир Казань,ремонт квартир,commercial,Казань,43,10,1
ремонт квартир Краснодар,ремонт квартир,commercial,Краснодар,35,10,1
ремонт квартир Самара,ремонт квартир,commercial,Самара,51,10,1
ремонт квартир Нижний Новгород,ремонт квартир,commercial,Нижний Новгород,47,10,1
дизайн интерьера Москва,дизайн интерьера,commercial,Москва,213,10,1
дизайн интерьера Санкт-Петербург,дизайн интерьера,commercial,Санкт-Петербург,2,10,1
дизайн интерьера Екатеринбург,дизайн интерьера,commercial,Екатеринбург,54,10,1
дизайн интерьера Новосибирск,дизайн интерьера,commercial,Новосибирск,65,10,1
дизайн интерьера Казань,дизайн интерьера,commercial,Казань,43,10,1
дизайн интерьера Краснодар,дизайн интерьера,commercial,Краснодар,35,10,1
дизайн интерьера Самара,дизайн интерьера,commercial,Самара,51,10,1
дизайн интерьера Нижний Новгород,дизайн интерьера,commercial,Нижний Новгород,47,10,1
стоматология имплантация Москва,стоматология имплантация,commercial,Москва,213,10,1
стоматология имплантация Санкт-Петербург,стоматология имплантация,commercial,Санкт-Петербург,2,10,1
стоматология имплантация Екатеринбург,стоматология имплантация,commercial,Екатеринбург,54,10,1
стоматология имплантация Новосибирск,стоматология имплантация,commercial,Новосибирск,65,10,1
стоматология имплантация Казань,стоматология имплантация,commercial,Казань,43,10,1
стоматология имплантация Краснодар,стоматология имплантация,commercial,Краснодар,35,10,1
стоматология имплантация Самара,стоматология имплантация,commercial,Самара,51,10,1
стоматология имплантация Нижний Новгород,стоматология имплантация,commercial,Нижний Новгород,47,10,1
стоматология брекеты Москва,стоматология брекеты,commercial,Москва,213,10,1
стоматология брекеты Санкт-Петербург,стоматология брекеты,commercial,Санкт-Петербург,2,10,1
стоматология брекеты Екатеринбург,стоматология брекеты,commercial,Екатеринбург,54,10,1
стоматология брекеты Новосибирск,стоматология брекеты,commercial,Новосибирск,65,10,1
стоматология брекеты Казань,стоматология брекеты,commercial,Казань,43,10,1
стоматология брекеты Краснодар,стоматология брекеты,commercial,Краснодар,35,10,1
стоматология брекеты Самара,стоматология брекеты,commercial,Самара,51,10,1
стоматология брекеты Нижний Новгород,стоматология брекеты,commercial,Нижний Новгород,47,10,1
банкротство физических лиц Москва,банкротство физических лиц,commercial,Москва,213,10,1
банкротство физических лиц Санкт-Петербург,банкротство физических лиц,commercial,Санкт-Петербург,2,10,1
банкротство физических лиц Екатеринбург,банкротство физических лиц,commercial,Екатеринбург,54,10,1
банкротство физических лиц Новосибирск,банкротство физических лиц,commercial,Новосибирск,65,10,1
банкротство физических лиц Казань,банкротство физических лиц,commercial,Казань,43,10,1
банкротство физических лиц Краснодар,банкротство физических лиц,commercial,Краснодар,35,10,1
банкротство физических лиц Самара,банкротство физических лиц,commercial,Самара,51,10,1
банкротство физических лиц Нижний Новгород,банкротство физических лиц,commercial,Нижний Новгород,47,10,1
юридические услуги Москва,юридические услуги,commercial,Москва,213,10,1
юридические услуги Санкт-Петербург,юридические услуги,commercial,Санкт-Петербург,2,10,1
юридические услуги Екатеринбург,юридические услуги,commercial,Екатеринбург,54,10,1
юридические услуги Новосибирск,юридические услуги,commercial,Новосибирск,65,10,1
юридические услуги Казань,юридические услуги,commercial,Казань,43,10,1
юридические услуги Краснодар,юридические услуги,commercial,Краснодар,35,10,1
юридические услуги Самара,юридические услуги,commercial,Самара,51,10,1
юридические услуги Нижний Новгород,юридические услуги,commercial,Нижний Новгород,47,10,1
бухгалтерские услуги Москва,бухгалтерские услуги,commercial,Москва,213,10,1
бухгалтерские услуги Санкт-Петербург,бухгалтерские услуги,commercial,Санкт-Петербург,2,10,1
бухгалтерские услуги Екатеринбург,бухгалтерские услуги,commercial,Екатеринбург,54,10,1
бухгалтерские услуги Новосибирск,бухгалтерские услуги,commercial,Новосибирск,65,10,1
бухгалтерские услуги Казань,бухгалтерские услуги,commercial,Казань,43,10,1
бухгалтерские услуги Краснодар,бухгалтерские услуги,commercial,Краснодар,35,10,1
бухгалтерские услуги Самара,бухгалтерские услуги,commercial,Самара,51,10,1
бухгалтерские услуги Нижний Новгород,бухгалтерские услуги,commercial,Нижний Новгород,47,10,1
ведение бухгалтерии Москва,ведение бухгалтерии,commercial,Москва,213,10,1
ведение бухгалтерии Санкт-Петербург,ведение бухгалтерии,commercial,Санкт-Петербург,2,10,1
ведение бухгалтерии Екатеринбург,ведение бухгалтерии,commercial,Екатеринбург,54,10,1
ведение бухгалтерии Новосибирск,ведение бухгалтерии,commercial,Новосибирск,65,10,1
ведение бухгалтерии Казань,ведение бухгалтерии,commercial,Казань,43,10,1
ведение бухгалтерии Краснодар,ведение бухгалтерии,commercial,Краснодар,35,10,1
ведение бухгалтерии Самара,ведение бухгалтерии,commercial,Самара,51,10,1
ведение бухгалтерии Нижний Новгород,ведение бухгалтерии,commercial,Нижний Новгород,47,10,1
грузоперевозки Москва,грузоперевозки,commercial,Москва,213,10,1
грузоперевозки Санкт-Петербург,грузоперевозки,commercial,Санкт-Петербург,2,10,1
грузоперевозки Екатеринбург,грузоперевозки,commercial,Екатеринбург,54,10,1
грузоперевозки Новосибирск,грузоперевозки,commercial,Новосибирск,65,10,1
грузоперевозки Казань,грузоперевозки,commercial,Казань,43,10,1
грузоперевозки Краснодар,грузоперевозки,commercial,Краснодар,35,10,1
грузоперевозки Самара,грузоперевозки,commercial,Самара,51,10,1
грузоперевозки Нижний Новгород,грузоперевозки,commercial,Нижний Новгород,47,10,1
эвакуатор Москва,эвакуатор,commercial,Москва,213,10,1
эвакуатор Санкт-Петербург,эвакуатор,commercial,Санкт-Петербург,2,10,1
эвакуатор Екатеринбург,эвакуатор,commercial,Екатеринбург,54,10,1
эвакуатор Новосибирск,эвакуатор,commercial,Новосибирск,65,10,1
эвакуатор Казань,эвакуатор,commercial,Казань,43,10,1
эвакуатор Краснодар,эвакуатор,commercial,Краснодар,35,10,1
эвакуатор Самара,эвакуатор,commercial,Самара,51,10,1
эвакуатор Нижний Новгород,эвакуатор,commercial,Нижний Новгород,47,10,1
уборка квартир Москва,уборка квартир,commercial,Москва,213,10,1
уборка квартир Санкт-Петербург,уборка квартир,commercial,Санкт-Петербург,2,10,1
уборка квартир Екатеринбург,уборка квартир,commercial,Екатеринбург,54,10,1
уборка квартир Новосибирск,уборка квартир,commercial,Новосибирск,65,10,1
уборка квартир Казань,уборка квартир,commercial,Казань,43,10,1
уборка квартир Краснодар,уборка квартир,commercial,Краснодар,35,10,1
уборка квартир Самара,уборка квартир,commercial,Самара,51,10,1
уборка квартир Нижний Новгород,уборка квартир,commercial,Нижний Новгород,47,10,1
химчистка диванов Москва,химчистка диванов,commercial,Москва,213,10,1
химчистка диванов Санкт-Петербург,химчистка диванов,commercial,Санкт-Петербург,2,10,1
химчистка диванов Екатеринбург,химчистка диванов,commercial,Екатеринбург,54,10,1
химчистка диванов Новосибирск,химчистка диванов,commercial,Новосибирск,65,10,1
химчистка диванов Казань,химчистка диванов,commercial,Казань,43,10,1
химчистка диванов Краснодар,химчистка диванов,commercial,Краснодар,35,10,1
химчистка диванов Самара,химчистка диванов,commercial,Самара,51,10,1
химчистка диванов Нижний Новгород,химчистка диванов,commercial,Нижний Новгород,47,10,1
установка кондиционеров Москва,установка кондиционеров,commercial,Москва,213,10,1
установка кондиционеров Санкт-Петербург,установка кондиционеров,commercial,Санкт-Петербург,2,10,1
установка кондиционеров Екатеринбург,установка кондиционеров,commercial,Екатеринбург,54,10,1
установка кондиционеров Новосибирск,установка кондиционеров,commercial,Новосибирск,65,10,1
установка кондиционеров Казань,установка кондиционеров,commercial,Казань,43,10,1
установка кондиционеров Краснодар,установка кондиционеров,commercial,Краснодар,35,10,1
установка кондиционеров Самара,установка кондиционеров,commercial,Самара,51,10,1
установка кондиционеров Нижний Новгород,установка кондиционеров,commercial,Нижний Новгород,47,10,1
ремонт ноутбуков Москва,ремонт ноутбуков,commercial,Москва,213,10,1
ремонт ноутбуков Санкт-Петербург,ремонт ноутбуков,commercial,Санкт-Петербург,2,10,1
ремонт ноутбуков Екатеринбург,ремонт ноутбуков,commercial,Екатеринбург,54,10,1
ремонт ноутбуков Новосибирск,ремонт ноутбуков,commercial,Новосибирск,65,10,1
ремонт ноутбуков Казань,ремонт ноутбуков,commercial,Казань,43,10,1
ремонт ноутбуков Краснодар,ремонт ноутбуков,commercial,Краснодар,35,10,1
ремонт ноутбуков Самара,ремонт ноутбуков,commercial,Самара,51,10,1
ремонт ноутбуков Нижний Новгород,ремонт ноутбуков,commercial,Нижний Новгород,47,10,1
создание сайтов Москва,создание сайтов,commercial,Москва,213,10,1
создание сайтов Санкт-Петербург,создание сайтов,commercial,Санкт-Петербург,2,10,1
создание сайтов Екатеринбург,создание сайтов,commercial,Екатеринбург,54,10,1
создание сайтов Новосибирск,создание сайтов,commercial,Новосибирск,65,10,1
создание сайтов Казань,создание сайтов,commercial,Казань,43,10,1
создание сайтов Краснодар,создание сайтов,commercial,Краснодар,35,10,1
создание сайтов Самара,создание сайтов,commercial,Самара,51,10,1
создание сайтов Нижний Новгород,создание сайтов,commercial,Нижний Новгород,47,10,1
разработка интернет-магазина Москва,разработка интернет-магазина,commercial,Москва,213,10,1
разработка интернет-магазина Санкт-Петербург,разработка интернет-магазина,commercial,Санкт-Петербург,2,10,1
разработка интернет-магазина Екатеринбург,разработка интернет-магазина,commercial,Екатеринбург,54,10,1
разработка интернет-магазина Новосибирск,разработка интернет-магазина,commercial,Новосибирск,65,10,1
разработка интернет-магазина Казань,разработка интернет-магазина,commercial,Казань,43,10,1
разработка интернет-магазина Краснодар,разработка интернет-магазина,commercial,Краснодар,35,10,1
разработка интернет-магазина Самара,разработка интернет-магазина,commercial,Самара,51,10,1
разработка интернет-магазина Нижний Новгород,разработка интернет-магазина,commercial,Нижний Новгород,47,10,1
seo продвижение Москва,seo продвижение,commercial,Москва,213,10,1
seo продвижение Санкт-Петербург,seo продвижение,commercial,Санкт-Петербург,2,10,1
seo продвижение Екатеринбург,seo продвижение,commercial,Екатеринбург,54,10,1
seo продвижение Новосибирск,seo продвижение,commercial,Новосибирск,65,10,1
seo продвижение Казань,seo продвижение,commercial,Казань,43,10,1
seo продвижение Краснодар,seo продвижение,commercial,Краснодар,35,10,1
seo продвижение Самара,seo продвижение,commercial,Самара,51,10,1
seo продвижение Нижний Новгород,seo продвижение,commercial,Нижний Новгород,47,10,1
контекстная реклама Москва,контекстная реклама,commercial,Москва,213,10,1
контекстная реклама Санкт-Петербург,контекстная реклама,commercial,Санкт-Петербург,2,10,1
контекстная реклама Екатеринбург,контекстная реклама,commercial,Екатеринбург,54,10,1
контекстная реклама Новосибирск,контекстная реклама,commercial,Новосибирск,65,10,1
контекстная реклама Казань,контекстная реклама,commercial,Казань,43,10,1
контекстная реклама Краснодар,контекстная реклама,commercial,Краснодар,35,10,1
контекстная реклама Самара,контекстная реклама,commercial,Самара,51,10,1
контекстная реклама Нижний Новгород,контекстная реклама,commercial,Нижний Новгород,47,10,1
лазерная эпиляция Москва,лазерная эпиляция,commercial,Москва,213,10,1
лазерная эпиляция Санкт-Петербург,лазерная эпиляция,commercial,Санкт-Петербург,2,10,1
лазерная эпиляция Екатеринбург,лазерная эпиляция,commercial,Екатеринбург,54,10,1
лазерная эпиляция Новосибирск,лазерная эпиляция,commercial,Новосибирск,65,10,1
лазерная эпиляция Казань,лазерная эпиляция,commercial,Казань,43,10,1
лазерная эпиляция Краснодар,лазерная эпиляция,commercial,Краснодар,35,10,1
лазерная эпиляция Самара,лазерная эпиляция,commercial,Самара,51,10,1
лазерная эпиляция Нижний Новгород,лазерная эпиляция,commercial,Нижний Новгород,47,10,1
автосервис Москва,автосервис,commercial,Москва,213,10,1
автосервис Санкт-Петербург,автосервис,commercial,Санкт-Петербург,2,10,1
автосервис Екатеринбург,автосервис,commercial,Екатеринбург,54,10,1
автосервис Новосибирск,автосервис,commercial,Новосибирск,65,10,1
автосервис Казань,автосервис,commercial,Казань,43,10,1
автосервис Краснодар,автосервис,commercial,Краснодар,35,10,1
автосервис Самара,автосервис,commercial,Самара,51,10,1
автосервис Нижний Новгород,автосервис,commercial,Нижний Новгород,47,10,1
