query,category,intent,city,region_code,top_n,pages_to_scan
установка входных дверей казань,установка входных дверей,commercial,казань,43,10,1
установка входных дверей краснодар,установка входных дверей,commercial,краснодар,35,10,1
установка входных дверей самара,установка входных дверей,commercial,самара,51,10,1
установка входных дверей нижний новгород,установка входных дверей,commercial,нижний новгород,47,10,1
кухни на заказ москва,кухни на заказ,commercial,москва,213,10,1
кухни на заказ санкт-петербург,кухни на заказ,commercial,санкт-петербург,2,10,1
кухни на заказ екатеринбург,кухни на заказ,commercial,екатеринбург,54,10,1
кухни на заказ новосибирск,кухни на заказ,commercial,новосибирск,65,10,1
кухни на заказ казань,кухни на заказ,commercial,казань,43,10,1
кухни на заказ краснодар,кухни на заказ,commercial,краснодар,35,10,1
кухни на заказ самара,кухни на заказ,commercial,самара,51,10,1
кухни на заказ нижний новгород,кухни на заказ,commercial,нижний новгород,47,10,1
шкафы-купе на заказ москва,шкафы-купе на заказ,commercial,москва,213,10,1
шкафы-купе на заказ санкт-петербург,шкафы-купе на заказ,commercial,санкт-петербург,2,10,1
шкафы-купе на заказ екатеринбург,шкафы-купе на заказ,commercial,екатеринбург,54,10,1
шкафы-купе на заказ новосибирск,шкафы-купе на заказ,commercial,новосибирск,65,10,1
шкафы-купе на заказ казань,шкафы-купе на заказ,commercial,казань,43,10,1
шкафы-купе на заказ краснодар,шкафы-купе на заказ,commercial,краснодар,35,10,1
шкафы-купе на заказ самара,шкафы-купе на заказ,commercial,самара,51,10,1
шкафы-купе на заказ нижний новгород,шкафы-купе на заказ,commercial,нижний новгород,47,10,1
создание сайта москва,создание сайта,commercial,москва,213,10,1
создание сайта санкт-петербург,создание сайта,commercial,санкт-петербург,2,10,1
создание сайта екатеринбург,создание сайта,commercial,екатеринбург,54,10,1
создание сайта новосибирск,создание сайта,commercial,новосибирск,65,10,1
создание сайта казань,создание сайта,commercial,казань,43,10,1
создание сайта краснодар,создание сайта,commercial,краснодар,35,10,1
создание сайта самара,создание сайта,commercial,самара,51,10,1
создание сайта нижний новгород,создание сайта,commercial,нижний новгород,47,10,1
разработка интернет-магазина москва,разработка интернет-магазина,commercial,москва,213,10,1
разработка интернет-магазина санкт-петербург,разработка интернет-магазина,commercial,санкт-петербург,2,10,1
разработка интернет-магазина екатеринбург,разработка интернет-магазина,commercial,екатеринбург,54,10,1
разработка интернет-магазина новосибирск,разработка интернет-магазина,commercial,новосибирск,65,10,1
разработка интернет-магазина казань,разработка интернет-магазина,commercial,казань,43,10,1
разработка интернет-магазина краснодар,разработка интернет-магазина,commercial,краснодар,35,10,1
разработка интернет-магазина самара,разработка интернет-магазина,commercial,самара,51,10,1
разработка интернет-магазина нижний новгород,разработка интернет-магазина,commercial,нижний новгород,47,10,1
seo продвижение москва,seo продвижение,commercial,москва,213,10,1
seo продвижение санкт-петербург,seo продвижение,commercial,санкт-петербург,2,10,1
seo продвижение екатеринбург,seo продвижение,commercial,екатеринбург,54,10,1
seo продвижение новосибирск,seo продвижение,commercial,новосибирск,65,10,1
seo продвижение казань,seo продвижение,commercial,казань,43,10,1
seo продвижение краснодар,seo продвижение,commercial,краснодар,35,10,1
seo продвижение самара,seo продвижение,commercial,самара,51,10,1
seo продвижение нижний новгород,seo продвижение,commercial,нижний новгород,47,10,1
контекстная реклама москва,контекстная реклама,commercial,москва,213,10,1
контекстная реклама санкт-петербург,контекстная реклама,commercial,санкт-петербург,2,10,1
контекстная реклама екатеринбург,контекстная реклама,commercial,екатеринбург,54,10,1
контекстная реклама новосибирск,контекстная реклама,commercial,новосибирск,65,10,1
контекстная реклама казань,контекстная реклама,commercial,казань,43,10,1
контекстная реклама краснодар,контекстная реклама,commercial,краснодар,35,10,1
контекстная реклама самара,контекстная реклама,commercial,самара,51,10,1
контекстная реклама нижний новгород,контекстная реклама,commercial,нижний новгород,47,10,1
бухгалтерские услуги москва,бухгалтерские услуги,commercial,москва,213,10,1
бухгалтерские услуги санкт-петербург,бухгалтерские услуги,commercial,санкт-петербург,2,10,1
бухгалтерские услуги екатеринбург,бухгалтерские услуги,commercial,екатеринбург,54,10,1
бухгалтерские услуги новосибирск,бухгалтерские услуги,commercial,новосибирск,65,10,1
бухгалтерские услуги казань,бухгалтерские услуги,commercial,казань,43,10,1
бухгалтерские услуги краснодар,бухгалтерские услуги,commercial,краснодар,35,10,1
бухгалтерские услуги самара,бухгалтерские услуги,commercial,самара,51,10,1
бухгалтерские услуги нижний новгород,бухгалтерские услуги,commercial,нижний новгород,47,10,1
юридические услуги москва,юридические услуги,commercial,москва,213,10,1
юридические услуги санкт-петербург,юридические услуги,commercial,санкт-петербург,2,10,1
юридические услуги екатеринбург,юридические услуги,commercial,екатеринбург,54,10,1
юридические услуги новосибирск,юридические услуги,commercial,новосибирск,65,10,1
юридические услуги казань,юридические услуги,commercial,казань,43,10,1
юридические услуги краснодар,юридические услуги,commercial,краснодар,35,10,1
юридические услуги самара,юридические услуги,commercial,самара,51,10,1
юридические услуги нижний новгород,юридические услуги,commercial,нижний новгород,47,10,1
банкротство физических лиц москва,банкротство физических лиц,commercial,москва,213,10,1
банкротство физических лиц санкт-петербург,банкротство физических лиц,commercial,санкт-петербург,2,10,1
банкротство физических лиц екатеринбург,банкротство физических лиц,commercial,екатеринбург,54,10,1
банкротство физических лиц новосибирск,банкротство физических лиц,commercial,новосибирск,65,10,1
банкротство физических лиц казань,банкротство физических лиц,commercial,казань,43,10,1
банкротство физических лиц краснодар,банкротство физических лиц,commercial,краснодар,35,10,1
банкротство физических лиц самара,банкротство физических лиц,commercial,самара,51,10,1
банкротство физических лиц нижний новгород,банкротство физических лиц,commercial,нижний новгород,47,10,1
грузоперевозки москва,грузоперевозки,commercial,москва,213,10,1
грузоперевозки санкт-петербург,грузоперевозки,commercial,санкт-петербург,2,10,1
грузоперевозки екатеринбург,грузоперевозки,commercial,екатеринбург,54,10,1
грузоперевозки новосибирск,грузоперевозки,commercial,новосибирск,65,10,1
грузоперевозки казань,грузоперевозки,commercial,казань,43,10,1
грузоперевозки краснодар,грузоперевозки,commercial,краснодар,35,10,1
грузоперевозки самара,грузоперевозки,commercial,самара,51,10,1
грузоперевозки нижний новгород,грузоперевозки,commercial,нижний новгород,47,10,1
аренда спецтехники москва,аренда спецтехники,commercial,москва,213,10,1
аренда спецтехники санкт-петербург,аренда спецтехники,commercial,санкт-петербург,2,10,1
аренда спецтехники екатеринбург,аренда спецтехники,commercial,екатеринбург,54,10,1
аренда спецтехники новосибирск,аренда спецтехники,commercial,новосибирск,65,10,1
аренда спецтехники казань,аренда спецтехники,commercial,казань,43,10,1
аренда спецтехники краснодар,аренда спецтехники,commercial,краснодар,35,10,1
аренда спецтехники самара,аренда спецтехники,commercial,самара,51,10,1
аренда спецтехники нижний новгород,аренда спецтехники,commercial,нижний новгород,47,10,1
вывоз мусора москва,вывоз мусора,commercial,москва,213,10,1
вывоз мусора санкт-петербург,вывоз мусора,commercial,санкт-петербург,2,10,1
вывоз мусора екатеринбург,вывоз мусора,commercial,екатеринбург,54,10,1
вывоз мусора новосибирск,вывоз мусора,commercial,новосибирск,65,10,1
вывоз мусора казань,вывоз мусора,commercial,казань,43,10,1
вывоз мусора краснодар,вывоз мусора,commercial,краснодар,35,10,1
вывоз мусора самара,вывоз мусора,commercial,самара,51,10,1
вывоз мусора нижний новгород,вывоз мусора,commercial,нижний новгород,47,10,1
клининг офиса москва,клининг офиса,commercial,москва,213,10,1
клининг офиса санкт-петербург,клининг офиса,commercial,санкт-петербург,2,10,1
клининг офиса екатеринбург,клининг офиса,commercial,екатеринбург,54,10,1
клининг офиса новосибирск,клининг офиса,commercial,новосибирск,65,10,1
клининг офиса казань,клининг офиса,commercial,казань,43,10,1
клининг офиса краснодар,клининг офиса,commercial,краснодар,35,10,1
клининг офиса самара,клининг офиса,commercial,самара,51,10,1
клининг офиса нижний новгород,клининг офиса,commercial,нижний новгород,47,10,1
химчистка мебели москва,химчистка мебели,commercial,москва,213,10,1
химчистка мебели санкт-петербург,химчистка мебели,commercial,санкт-петербург,2,10,1
химчистка мебели екатеринбург,химчистка мебели,commercial,екатеринбург,54,10,1
химчистка мебели новосибирск,химчистка мебели,commercial,новосибирск,65,10,1
химчистка мебели казань,химчистка мебели,commercial,казань,43,10,1
химчистка мебели краснодар,химчистка мебели,commercial,краснодар,35,10,1
химчистка мебели самара,химчистка мебели,commercial,самара,51,10,1
химчистка мебели нижний новгород,химчистка мебели,commercial,нижний новгород,47,10,1
установка кондиционеров москва,установка кондиционеров,commercial,москва,213,10,1
установка кондиционеров санкт-петербург,установка кондиционеров,commercial,санкт-петербург,2,10,1
установка кондиционеров екатеринбург,установка кондиционеров,commercial,екатеринбург,54,10,1
установка кондиционеров новосибирск,установка кондиционеров,commercial,новосибирск,65,10,1
установка кондиционеров казань,установка кондиционеров,commercial,казань,43,10,1
установка кондиционеров краснодар,установка кондиционеров,commercial,краснодар,35,10,1
установка кондиционеров самара,установка кондиционеров,commercial,самара,51,10,1
установка кондиционеров нижний новгород,установка кондиционеров,commercial,нижний новгород,47,10,1
бурение скважин москва,бурение скважин,commercial,москва,213,10,1
бурение скважин санкт-петербург,бурение скважин,commercial,санкт-петербург,2,10,1
бурение скважин екатеринбург,бурение скважин,commercial,екатеринбург,54,10,1
бурение скважин новосибирск,бурение скважин,commercial,новосибирск,65,10,1
бурение скважин казань,бурение скважин,commercial,казань,43,10,1
бурение скважин краснодар,бурение скважин,commercial,краснодар,35,10,1
бурение скважин самара,бурение скважин,commercial,самара,51,10,1
бурение скважин нижний новгород,бурение скважин,commercial,нижний новгород,47,10,1
строительство домов москва,строительство домов,commercial,москва,213,10,1
строительство домов санкт-петербург,строительство домов,commercial,санкт-петербург,2,10,1
строительство домов екатеринбург,строительство домов,commercial,екатеринбург,54,10,1
строительство домов новосибирск,строительство домов,commercial,новосибирск,65,10,1
строительство домов казань,строительство домов,commercial,казань,43,10,1
строительство домов краснодар,строительство домов,commercial,краснодар,35,10,1
строительство домов самара,строительство домов,commercial,самара,51,10,1
строительство домов нижний новгород,строительство домов,commercial,нижний новгород,47,10,1
утепление фасада москва,утепление фасада,commercial,москва,213,10,1
утепление фасада санкт-петербург,утепление фасада,commercial,санкт-петербург,2,10,1
утепление фасада екатеринбург,утепление фасада,commercial,екатеринбург,54,10,1
утепление фасада новосибирск,утепление фасада,commercial,новосибирск,65,10,1
утепление фасада казань,утепление фасада,commercial,казань,43,10,1
утепление фасада краснодар,утепление фасада,commercial,краснодар,35,10,1
утепление фасада самара,утепление фасада,commercial,самара,51,10,1
утепление фасада нижний новгород,утепление фасада,commercial,нижний новгород,47,10,1
ремонт офисов москва,ремонт офисов,commercial,москва,213,10,1
ремонт офисов санкт-петербург,ремонт офисов,commercial,санкт-петербург,2,10,1
ремонт офисов екатеринбург,ремонт офисов,commercial,екатеринбург,54,10,1
ремонт офисов новосибирск,ремонт офисов,commercial,новосибирск,65,10,1
ремонт офисов казань,ремонт офисов,commercial,казань,43,10,1
ремонт офисов краснодар,ремонт офисов,commercial,краснодар,35,10,1
ремонт офисов самара,ремонт офисов,commercial,самара,51,10,1
ремонт офисов нижний новгород,ремонт офисов,commercial,нижний новгород,47,10,1
