dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,остекление лоджии цена,plastic_windows,commercial,,,https://www.oknastreet.ru/stoimost-new/kalkuljator-balkonov.html,oknastreet.ru,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.oknastreet.ru/stoimost-new/kalkuljator-balkonov.html
Call log:
  - navigating to ""https://www.oknastreet.ru/stoimost-new/kalkuljator-balkonov.html"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,замена пластиковых окон,plastic_windows,commercial,,,https://www.fabrikaokon.ru/poleznoe/zamena-plastikovyix-okon.html,fabrikaokon.ru,3,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.fabrikaokon.ru/poleznoe/zamena-plastikovyix-okon.html"", waiting until ""domcontentloaded""
",,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,энергосберегающие окна пвх,plastic_windows,commercial,,,https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/energosberegayushhie/,okna-magnit.ru,2,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/energosberegayushhie/
Call log:
  - navigating to ""https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/energosberegayushhie/"", waiting until ""domcontentloaded""
",,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,энергосберегающие окна пвх,plastic_windows,commercial,,,https://rosstip.ru/news/9386-kak-vybrat-energoeffektivnye-pvkh-okna-dlya-stroitelstva-kriterii-tekhnologii-i-sovety-spetsialistov,rosstip.ru,7,0,,,article,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://rosstip.ru/news/9386-kak-vybrat-energoeffektivnye-pvkh-okna-dlya-stroitelstva-kriterii-tekhnologii-i-sovety-spetsialistov"", waiting until ""domcontentloaded""
",,,0,68.4211
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,ремонт пластиковых окон,plastic_windows,commercial,,,https://www.fabrikaokon.ru/remont-okon-pvh.html,fabrikaokon.ru,1,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.fabrikaokon.ru/remont-okon-pvh.html"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,металлические входные двери цена,entrance_doors,commercial,,,https://www.vseinstrumenti.ru/tag-page/vhodnye-metallicheskie-dveri-dlya-chastnogo-doma-i-kottedzha-519195/,vseinstrumenti.ru,5,0,,,content,failed,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,дверь входная в квартиру,entrance_doors,commercial,,,https://blog.domclick.ru/dom-i-uyut/post/kak-vybrat-vhodnuyu-dver-v-kvartiru-ili-dom,blog.domclick.ru,4,0,,,article,failed,Browser rendering did not produce usable content,,,0,84.2105
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,как выбрать входную дверь,entrance_doors,informational,,,https://blog.domclick.ru/dom-i-uyut/post/kak-vybrat-vhodnuyu-dver-v-kvartiru-ili-dom,blog.domclick.ru,2,0,,,article,failed,Browser rendering did not produce usable content,,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,как выбрать входную дверь,entrance_doors,informational,,,https://rg.ru/2024/07/31/kak-vybrat-vhodnuiu-dver-v-kvartiru-rejting-i-sovety-ekspertov.html,rg.ru,6,0,,,content,failed,Browser rendering did not produce usable content,,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,стоматология москва,dentistry,commercial,Москва,213,https://infodoctor.ru/klinika/stomatology,infodoctor.ru,6,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://infodoctor.ru/klinika/stomatology"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,стоматология москва,dentistry,commercial,Москва,213,https://medadvisor.ru/moskva/clinics/stomatologicheskie-kliniki,medadvisor.ru,8,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://medadvisor.ru/moskva/clinics/stomatologicheskie-kliniki
Call log:
  - navigating to ""https://medadvisor.ru/moskva/clinics/stomatologicheskie-kliniki"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,детская стоматология рядом,dentistry,commercial,,,https://naudent.ru/detskaya-stomatologiya/,naudent.ru,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://naudent.ru/detskaya-stomatologiya/
Call log:
  - navigating to ""https://naudent.ru/detskaya-stomatologiya/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,банкротство физ лиц москва,bankruptcy_law,commercial,Москва,213,https://bankirro.ru/,bankirro.ru,4,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://bankirro.ru/
Call log:
  - navigating to ""https://bankirro.ru/"", waiting until ""domcontentloaded""
",,,0,84.2105
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,списание долгов через банкротство,bankruptcy_law,commercial,,,https://alexeydemidov.ru/blog/kak-spisyvayut-dolgi-posle-bankrotstva/,alexeydemidov.ru,5,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://alexeydemidov.ru/blog/kak-spisyvayut-dolgi-posle-bankrotstva/
Call log:
  - navigating to ""https://alexeydemidov.ru/blog/kak-spisyvayut-dolgi-posle-bankrotstva/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,списание долгов через банкротство,bankruptcy_law,commercial,,,https://juristonline.com/news/detail/protsedura-bankrotstva-fizicheskogo-litsa-poshagovaya-instruktsiya-sroki-i-posledstviya/,juristonline.com,8,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://juristonline.com/news/detail/protsedura-bankrotstva-fizicheskogo-litsa-poshagovaya-instruktsiya-sroki-i-posledstviya/
Call log:
  - navigating to ""https://juristonline.com/news/detail/protsedura-bankrotstva-fizicheskogo-litsa-poshagovaya-instruktsiya-sroki-i-posledstviya/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,консультация по банкротству бесплатно,bankruptcy_law,commercial,,,https://dolgam.net/onlayn-konsultatsiya/,dolgam.net,7,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://dolgam.net/onlayn-konsultatsiya/
Call log:
  - navigating to ""https://dolgam.net/onlayn-konsultatsiya/"", waiting until ""domcontentloaded""
",,,0,68.4211
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,консультация по банкротству бесплатно,bankruptcy_law,commercial,,,https://financentr.ru/free-consult,financentr.ru,8,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://financentr.ru/free-consult
Call log:
  - navigating to ""https://financentr.ru/free-consult"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,банкротство физических лиц отзывы,bankruptcy_law,comparison,,,https://www.vbr.ru/bankrotstvo/otzivy/,vbr.ru,1,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vbr.ru/bankrotstvo/otzivy/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,бухгалтерские услуги для ип,accounting_services,commercial,,,https://baliot.ru/buhgalterskie-uslugi/autsorsing/ip/,baliot.ru,2,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://baliot.ru/buhgalterskie-uslugi/autsorsing/ip/
Call log:
  - navigating to ""https://baliot.ru/buhgalterskie-uslugi/autsorsing/ip/"", waiting until ""domcontentloaded""
",,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,бухгалтерские услуги для ип,accounting_services,commercial,,,https://www.sravni.ru/biznes-accounting/ip/,sravni.ru,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.sravni.ru/biznes-accounting/ip/
Call log:
  - navigating to ""https://www.sravni.ru/biznes-accounting/ip/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,бухгалтер для маркетплейсов,accounting_services,commercial,,,https://www.profdelo.com/blog/bukhgalteriya-dlya-marketpleysov/,profdelo.com,8,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.profdelo.com/blog/bukhgalteriya-dlya-marketpleysov/
Call log:
  - navigating to ""https://www.profdelo.com/blog/bukhgalteriya-dlya-marketpleysov/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,автосервис москва,car_service,commercial,Москва,213,https://www.fitauto.ru/,fitauto.ru,3,0,,,homepage,failed,Browser rendering did not produce usable content,,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,замена масла рядом,car_service,commercial,,,https://yaikar.ru/gde-nayti-mobilnuyu-masterskuyu-dlya-zameny-masla/,yaikar.ru,5,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://yaikar.ru/gde-nayti-mobilnuyu-masterskuyu-dlya-zameny-masla/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,диагностика автомобиля цена,car_service,commercial,,,https://blizko.ru/predl/transport/vehicle/repaircar/diagnostika/16484,blizko.ru,3,0,,,content,failed,Browser rendering did not produce usable content,,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,кузовной ремонт цена,car_service,commercial,,,https://jointmotors.ru/price/,jointmotors.ru,7,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://jointmotors.ru/price/
Call log:
  - navigating to ""https://jointmotors.ru/price/"", waiting until ""domcontentloaded""
",,,0,68.4211
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,автосервис отзывы,car_service,comparison,,,https://msk.auto-firmika.ru/__avtoservisy_otzyvy,msk.auto-firmika.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://msk.auto-firmika.ru/__avtoservisy_otzyvy
Call log:
  - navigating to ""https://msk.auto-firmika.ru/__avtoservisy_otzyvy"", waiting until ""domcontentloaded""
",,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,грузоперевозки москва,cargo_transport,commercial,Москва,213,https://pecom.ru/,pecom.ru,6,0,,,homepage,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://pecom.ru/"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,заказать газель для перевозки,cargo_transport,commercial,,,https://perevozki-na-gazeli.com/calc/,perevozki-na-gazeli.com,8,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://perevozki-na-gazeli.com/calc/
Call log:
  - navigating to ""https://perevozki-na-gazeli.com/calc/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,заказать газель для перевозки,cargo_transport,commercial,,,https://gazelkin.ru/transportation/zakazat-perevozku/,gazelkin.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://gazelkin.ru/transportation/zakazat-perevozku/
Call log:
  - navigating to ""https://gazelkin.ru/transportation/zakazat-perevozku/"", waiting until ""domcontentloaded""
",,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,квартирный переезд цена,cargo_transport,commercial,,,https://www.dellin.ru/services/moving/,dellin.ru,2,0,,,category,failed,Browser rendering did not produce usable content,,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,перевозка мебели с грузчиками,cargo_transport,commercial,,,https://www.dellin.ru/cargo-types/furniture/,dellin.ru,9,0,,,content,failed,Browser rendering did not produce usable content,,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,междугородние грузоперевозки,cargo_transport,commercial,,,https://pecom.ru/dlv/size/perevozka-mejgorod/,pecom.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://pecom.ru/dlv/size/perevozka-mejgorod/
Call log:
  - navigating to ""https://pecom.ru/dlv/size/perevozka-mejgorod/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,междугородние грузоперевозки,cargo_transport,commercial,,,https://mtkkompas.ru/uslugi/prochie-uslugi/mezhdugorodnie-gruzoperevozki/,mtkkompas.ru,9,0,,,content,failed,"Page.goto: net::ERR_CERT_DATE_INVALID at https://mtkkompas.ru/uslugi/prochie-uslugi/mezhdugorodnie-gruzoperevozki/
Call log:
  - navigating to ""https://mtkkompas.ru/uslugi/prochie-uslugi/mezhdugorodnie-gruzoperevozki/"", waiting until ""domcontentloaded""
",,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,доставка груза по россии,cargo_transport,commercial,,,https://pecom.ru/directions/perevozki-po-rossii/,pecom.ru,1,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://pecom.ru/directions/perevozki-po-rossii/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,доставка груза по россии,cargo_transport,commercial,,,https://www.dellin.ru/products/ltl/,dellin.ru,3,0,,,product,failed,Browser rendering did not produce usable content,,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,грузчики и машина недорого,cargo_transport,commercial,,,https://nashigruzchiki.ru/,nashigruzchiki.ru,9,0,,,homepage,failed,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://nashigruzchiki.ru/
Call log:
  - navigating to ""https://nashigruzchiki.ru/"", waiting until ""domcontentloaded""
",,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,как выбрать транспортную компанию,cargo_transport,informational,,,https://pecom.ru/info/kak-vybrat-transportnuyu-kompaniyu-dlya-dostavki-gruza-v-2025-godu/,pecom.ru,5,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://pecom.ru/info/kak-vybrat-transportnuyu-kompaniyu-dlya-dostavki-gruza-v-2025-godu/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,абонемент на пилатес,pilates_fitness,commercial,,,https://www.yapokupayu.ru/blogs/post/pilates-v-sankt-peterburge,yapokupayu.ru,8,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.yapokupayu.ru/blogs/post/pilates-v-sankt-peterburge
Call log:
  - navigating to ""https://www.yapokupayu.ru/blogs/post/pilates-v-sankt-peterburge"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,чем отличается пилатес от йоги,pilates_fitness,informational,,,https://yogajournal.ru/body/practice/yoga-therapy/chem-otlichaetsya-yoga-ot-pilatesa_536_897/,yogajournal.ru,6,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://yogajournal.ru/body/practice/yoga-therapy/chem-otlichaetsya-yoga-ot-pilatesa_536_897/
Call log:
  - navigating to ""https://yogajournal.ru/body/practice/yoga-therapy/chem-otlichaetsya-yoga-ot-pilatesa_536_897/"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,сдать анализы москва,medical_tests,commercial,Москва,213,https://napopravku.ru/moskva/uslugi/analizy/,napopravku.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://napopravku.ru/moskva/uslugi/analizy/
Call log:
  - navigating to ""https://napopravku.ru/moskva/uslugi/analizy/"", waiting until ""domcontentloaded""
",,,0,57.8947
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,общий анализ крови цена,medical_tests,commercial,,,https://kdl.ru/analizy-i-tseny/obshiy-analiz-krovi,kdl.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://kdl.ru/analizy-i-tseny/obshiy-analiz-krovi
Call log:
  - navigating to ""https://kdl.ru/analizy-i-tseny/obshiy-analiz-krovi"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,общий анализ крови цена,medical_tests,commercial,,,https://gemotest.ru/,gemotest.ru,2,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://gemotest.ru/
Call log:
  - navigating to ""https://gemotest.ru/"", waiting until ""domcontentloaded""
",,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,общий анализ крови цена,medical_tests,commercial,,,https://www.cmd-online.ru/analizy-i-tseny/katalog-analizov/msk/klinicheskij-analiz-krovi-complete-blood-count_110006/,cmd-online.ru,3,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.cmd-online.ru/analizy-i-tseny/katalog-analizov/msk/klinicheskij-analiz-krovi-complete-blood-count_110006/
Call log:
  - navigating to ""https://www.cmd-online.ru/analizy-i-tseny/katalog-analizov/msk/klinicheskij-analiz-krovi-complete-blood-count_110006/"", waiting until ""domcontentloaded""
",,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,общий анализ крови цена,medical_tests,commercial,,,https://dnkom.ru/analizy-i-tseny/obshchiy-analiz-krovi-gruppy-krovi/,dnkom.ru,7,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://dnkom.ru/analizy-i-tseny/obshchiy-analiz-krovi-gruppy-krovi/"", waiting until ""domcontentloaded""
",,,0,68.4211
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,лаборатория анализов отзывы,medical_tests,comparison,,,https://www.otzyvru.com/meditsina/laboratorii/,otzyvru.com,6,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.otzyvru.com/meditsina/laboratorii/"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,52.6316,,как подготовиться к анализу крови,medical_tests,informational,,,https://citilab.ru/info/rules/blood/,citilab.ru,10,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://citilab.ru/info/rules/blood/
Call log:
  - navigating to ""https://citilab.ru/info/rules/blood/"", waiting until ""domcontentloaded""
",,,0,52.6316
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,мебель на заказ москва,custom_furniture,commercial,Москва,213,https://repo-mebel.ru/,repo-mebel.ru,6,0,,,homepage,failed,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://repo-mebel.ru/
Call log:
  - navigating to ""https://repo-mebel.ru/"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,гардеробная на заказ,custom_furniture,commercial,,,https://abelle-project.ru/,abelle-project.ru,2,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://abelle-project.ru/
Call log:
  - navigating to ""https://abelle-project.ru/"", waiting until ""domcontentloaded""
",,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,детская мебель на заказ,custom_furniture,commercial,,,https://mamka.moscow/,mamka.moscow,3,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://mamka.moscow/
Call log:
  - navigating to ""https://mamka.moscow/"", waiting until ""domcontentloaded""
",,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,как выбрать мебель на заказ,custom_furniture,informational,,,https://rg.ru/2025/02/26/7-sekretov-kak-vybrat-mebel-na-zakaz-kotoraia-prosluzhit-15-let.html,rg.ru,1,0,,,content,failed,Browser rendering did not produce usable content,,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,купить кондиционер с установкой,air_conditioners,commercial,,,https://www.dns-shop.ru/catalog/17a8d3a316404e77/kondicionery-split-sistemy/,dns-shop.ru,2,0,,,product,failed,Browser rendering did not produce usable content,,,0,94.7368
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,установка кондиционера цена,air_conditioners,commercial,,,https://blog.domclick.ru/dom-i-uyut/post/skolko-stoit-ustanovit-kondicioner,blog.domclick.ru,5,0,,,article,failed,Browser rendering did not produce usable content,,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,сплит система в квартиру,air_conditioners,commercial,,,https://www.dns-shop.ru/catalog/17a8d3a316404e77/kondicionery-split-sistemy/,dns-shop.ru,6,0,,,product,failed,Browser rendering did not produce usable content,,,0,73.6842
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,кондиционеры москва,air_conditioners,commercial,Москва,213,https://www.technopark.ru/konditsionery/,technopark.ru,7,0,,,content,failed,Browser rendering did not produce usable content,,,0,68.4211
